SZX,28176
HKG,9678
PEK,8936
CAN,4778
SHA,4171
MAC,3076
HGH,2390
ZHH,2047
SYX,2044
XMN,1788
CTU,1384
CKG,1232
NKG,1161
HUI,1158
WUH,1130
XIA,858
TSN,844
SOZ,814
CSX,685
TAO,630
ZSO,615
KMG,469
KHN,464
FOC,419
YAS,408
DNG,392
FOH,388
SHE,383
DLI,369
DLC,361
KWL,344
HRB,344
PTS,326
HAK,320
LJG,309
HEY,305
SHG,287
ZHJ,285
CGO,275
TNA,257
KWE,236
NNG,236
NGB,199
QIN,199
PYO,191
GZU,177
JMO,166
SWA,165
QHU,164
BHY,163
LHW,159
JZG,157
TSH,151
CGQ,150
WXI,147
TYN,145
CZX,144
HFE,144
YJI,144
SXG,141
MEZ,141
ZHQ,126
JIX,119
TOX,114
URS,113
LYA,111
DDG,105
WNZ,97
LZH,96
YCN,96
HAZ,95
YIH,94
SHW,84
BBU,83
YGH,80
ZJK,78
SJW,76
TXN,75
DTG,75
YNT,74
XZU,73
DQG,72
CHE,72
YUL,72
NTG,71
QHD,70
WUS,68
YIW,66
DNH,66
XYG,65
JIY,64
JJG,64
JIS,62
JIL,62
ZJI,60
XIC,59
HGY,58
HED,58
HUZ,58
